tenure,monthly_charges,total_charges,senior_citizen,churn
15,58.95,955.15,f,f
22,95.10,2162.60,f,f
1,44.70,44.70,f,t
71,25.45,1813.35,f,f
4,56.75,245.15,f,f
25,81.75,2028.80,f,f
32,86.10,2723.75,f,f
7,29.80,220.45,t,f
17,20.50,365.80,f,f
8,60.90,551.95,t,f
56,73.25,4054.20,t,f
1,45.70,45.70,f,t
8,100.30,832.35,t,t
7,19.25,112.30,f,t
3,20.85,60.65,f,f
71,77.35,5550.10,f,f
2,96.00,174.80,f,t
1,90.55,90.55,f,t
49,93.85,4733.10,f,f
58,70.10,4048.95,f,f
44,30.35,1359.70,t,t
71,108.05,7532.15,f,t
1,69.90,69.90,f,t
11,75.25,888.65,f,f
62,103.75,6383.35,t,t
35,54.95,1916.00,f,f
20,19.50,413.00,f,f
40,19.60,808.95,f,f
39,47.85,1886.40,f,f
1,86.60,86.60,f,t
72,23.75,1679.25,f,f
33,80.60,2656.50,t,t
12,43.80,540.95,f,f
1,19.75,19.75,f,f
27,19.15,537.35,f,f
34,19.60,678.80,f,f
56,80.30,4513.65,f,f
58,24.35,1423.85,f,f
22,25.25,555.40,f,f
10,26.10,225.55,f,f
13,20.00,268.45,f,f
35,85.30,2917.50,f,t
34,70.00,2416.10,f,t
4,94.30,424.45,t,t
72,20.70,1492.10,f,f
2,70.30,132.40,f,f
7,95.35,660.90,f,t
27,75.50,1893.95,t,t
4,69.55,284.90,f,f
37,19.85,784.25,f,f
21,20.00,417.70,f,f
53,95.85,5016.25,t,f
18,90.10,1612.75,f,t
2,68.95,119.75,f,t
32,99.55,3204.65,f,t
23,20.75,485.20,t,f
3,50.15,160.85,f,f
71,58.65,4145.25,f,f
9,95.90,827.45,f,f
1,49.50,49.50,f,f
18,57.45,990.85,f,t
12,53.65,696.35,f,t
71,80.10,5585.40,f,f
64,24.40,1601.20,f,f
4,40.05,162.45,f,f
23,19.50,470.20,f,f
39,51.05,2066.00,f,f
28,54.35,1426.45,f,f
5,84.70,392.50,t,f
45,86.10,3861.45,t,f
37,70.35,2552.90,f,f
60,110.00,6668.35,t,f
8,100.60,819.40,t,t
47,94.90,4615.25,f,f
26,83.75,2070.60,f,t
3,88.30,273.75,t,t
50,69.75,3557.70,f,f
27,71.60,1957.10,f,f
8,92.10,729.95,t,t
62,23.65,1416.75,f,f
71,81.85,5924.40,f,f
66,25.10,1697.70,f,f
68,114.70,7849.85,f,f
13,49.15,649.40,f,f
56,80.90,4557.50,f,f
38,79.45,3013.05,f,t
14,90.45,1266.10,t,t
16,19.30,360.35,f,f
14,70.20,1046.50,f,f
32,69.75,2347.90,f,t
8,54.25,447.75,f,f
43,99.30,4209.95,f,f
52,74.00,3877.65,f,f
3,50.25,152.30,f,f
29,19.80,572.20,f,f
1,19.65,19.65,f,t
12,43.65,526.95,t,t
16,35.50,552.70,f,f
40,80.75,3208.65,f,f
5,39.50,210.75,f,t
40,97.10,3706.95,f,t
36,19.55,620.75,f,f
5,80.00,412.50,f,t
10,84.70,832.05,f,t
2,89.55,185.55,f,t
23,90.60,1943.20,f,t
26,20.05,505.90,f,f
72,112.40,8046.85,t,f
34,50.20,1815.30,f,f
10,62.25,612.95,f,f
14,55.70,795.15,f,f
23,90.05,2169.80,f,t
47,19.65,973.10,f,f
24,89.25,2210.20,f,f
49,99.05,4853.75,f,t
20,54.00,1055.90,t,f
2,69.75,144.55,f,t
2,49.05,91.10,f,t
22,56.75,1304.85,f,f
7,98.05,713.00,f,t
1,21.10,21.10,f,f
59,96.65,5580.80,f,f
58,24.50,1497.90,f,f
41,114.50,4527.45,f,t
59,79.20,4590.35,t,f
3,69.55,200.20,f,f
32,20.05,614.45,f,f
46,98.85,4564.90,t,f
0,25.75,0.00,f,f
2,80.95,171.15,f,t
52,19.60,1012.40,f,f
13,74.30,940.35,t,t
11,89.70,1047.70,t,t
32,87.65,2766.40,f,f
17,100.45,1622.45,t,t
16,74.75,1129.35,f,f
51,107.45,5680.90,f,f
29,75.35,2243.90,f,f
70,64.95,4523.25,f,f
71,100.45,7159.70,f,f
41,68.50,2839.95,f,f
1,80.55,80.55,f,f
7,81.25,580.10,f,f
25,90.40,2178.60,f,t
67,89.55,6038.55,f,f
5,55.70,259.40,f,f
15,24.80,324.15,f,f
20,20.00,417.65,f,f
3,56.15,168.15,f,t
54,105.20,5637.85,f,f
42,19.55,839.40,f,f
9,79.75,769.10,f,f
63,97.45,6253.00,f,f
69,24.25,1641.80,f,f
69,24.60,1678.05,f,f
40,50.15,2058.50,f,f
60,39.60,2424.50,f,f
4,94.40,387.20,f,t
71,89.85,6293.45,t,f
37,78.95,2839.65,f,t
32,98.85,3145.90,f,f
39,53.85,2200.70,f,f
38,24.25,914.40,f,f
52,89.45,4577.75,f,f
48,105.25,4997.50,f,f
70,59.50,4144.80,f,f
20,70.55,1493.55,f,f
50,82.50,4179.10,f,f
19,44.85,893.55,f,t
25,61.60,1611.00,f,f
12,49.05,593.05,f,f
39,105.65,4284.80,t,t
7,74.65,544.55,f,t
23,66.25,1533.80,f,f
27,19.40,529.80,f,f
47,86.05,3865.60,t,f
26,19.15,515.75,f,f
14,64.70,941.00,f,t
11,104.05,1133.65,t,t
2,19.25,48.35,f,f
26,81.95,2070.05,f,f
72,114.65,8333.95,t,f
63,20.00,1209.25,f,f
71,19.80,1396.25,f,f
11,65.15,723.35,f,f
21,60.05,1236.15,t,t
14,19.65,228.65,t,f
13,88.95,1161.75,f,f
6,20.20,98.35,f,f
11,75.20,775.30,t,f
18,56.80,1074.65,f,f
1,35.55,35.55,f,t
32,75.50,2324.70,f,f
29,35.60,1072.60,f,f
3,60.25,170.50,f,f
2,95.15,196.90,f,t
13,96.65,1162.85,f,t
41,40.35,1677.85,f,f
1,18.85,18.85,f,f
7,54.85,370.40,f,f
52,64.30,3410.60,f,f
45,24.65,1138.80,f,f
70,76.10,5264.25,f,f
53,18.70,1005.70,f,f
62,97.95,5936.55,t,f
60,94.10,5475.90,f,f
3,80.40,224.05,t,t
23,95.10,2326.05,t,f
1,31.35,31.35,f,t
67,72.35,4991.50,f,f
12,89.75,1052.40,f,t
71,82.70,5831.20,t,f
25,19.90,510.80,f,f
5,53.80,283.95,f,f
26,51.55,1295.40,f,f
1,19.65,19.65,f,f
70,44.05,3011.65,t,f
72,114.00,8093.15,f,f
60,94.40,5610.25,f,t
32,100.40,3217.65,t,f
1,19.85,19.85,f,t
14,54.25,773.20,f,f
13,80.00,1029.35,f,f
6,109.90,669.45,f,t
46,79.20,3593.80,f,f
15,101.35,1553.95,f,t
43,94.30,3953.15,t,f
39,49.80,1971.15,f,f
67,65.65,4322.85,f,f
57,53.75,3196.00,f,f
53,93.45,4872.20,f,f
18,87.90,1500.50,f,f
1,60.15,60.15,f,t
58,61.05,3478.75,f,f
71,104.05,7413.55,t,f
35,99.25,3532.00,f,f
3,85.70,256.75,f,f
38,104.85,3887.25,f,f
35,69.15,2490.15,f,f
7,90.45,593.45,f,t
47,74.45,3510.30,f,f
14,50.45,765.45,f,f
20,60.00,1259.35,t,f
66,85.25,5538.35,f,f
15,19.45,340.85,f,f
42,20.75,844.45,f,f
17,78.90,1348.95,f,f
37,104.50,3778.00,f,f
12,49.40,611.65,f,f
53,94.25,4867.95,f,t
60,25.00,1505.05,f,f
18,25.55,467.85,f,f
1,74.90,74.90,f,t
3,70.15,194.20,f,f
9,69.40,571.45,f,f
1,80.25,80.25,f,t
56,93.15,5253.95,f,f
17,69.00,1149.65,f,t
11,66.35,740.80,f,t
7,69.55,521.35,f,f
69,20.20,1412.65,f,f
19,86.00,1532.45,f,t
3,80.30,250.05,f,t
54,20.40,1090.60,f,f
62,23.75,1446.80,f,f
24,90.55,2282.55,f,t
62,70.45,4300.45,f,f
17,65.75,1111.20,f,f
9,24.60,190.10,f,f
64,69.25,4447.75,f,f
2,75.90,143.35,f,t
1,45.85,45.85,f,t
16,49.95,810.20,f,t
72,24.65,1830.05,f,f
30,90.40,2820.65,f,f
49,100.85,4847.35,f,f
61,75.35,4729.30,f,f
47,87.20,4017.45,f,f
20,64.40,1398.60,f,f
34,78.30,2564.30,f,t
70,24.70,1685.90,f,f
54,105.85,5826.65,f,f
61,98.30,6066.55,t,f
3,76.95,228.40,f,t
13,19.45,270.20,f,f
16,96.15,1529.20,t,t
3,58.70,168.60,f,f
25,20.15,536.35,f,f
30,64.50,1888.45,f,f
21,28.50,629.35,f,f
1,45.30,45.30,f,t
15,19.40,289.30,f,t
23,90.45,2117.25,t,f
45,105.15,4730.90,f,f
24,83.15,2033.05,f,f
11,90.15,987.95,f,t
1,45.05,45.05,f,t
56,103.20,5744.35,f,f
1,75.80,75.80,f,t
1,19.45,19.45,f,f
7,79.30,523.15,f,t
55,88.80,4805.30,t,f
2,30.90,59.05,f,t
72,85.90,6110.75,f,f
45,34.20,1596.60,t,f
47,20.15,1046.20,f,f
46,95.25,4424.20,t,t
2,50.30,92.75,f,f
2,80.15,194.55,f,f
12,51.25,612.10,f,f
68,89.60,6127.60,t,t
69,95.20,6671.70,f,f
56,94.80,5264.30,t,f
4,80.25,303.70,t,f
64,76.10,4818.80,f,f
59,110.15,6448.05,f,t
62,115.55,7159.05,f,f
63,24.65,1574.50,f,f
53,53.60,2879.20,f,f
5,19.45,86.05,f,f
49,88.20,4159.45,t,f
62,101.15,6638.35,f,f
55,56.80,3112.05,f,f
71,99.40,7168.25,t,f
72,20.10,1326.25,f,f
36,60.70,2234.55,f,f
25,20.95,495.15,f,f
72,114.85,8317.95,t,f
36,19.25,679.80,f,f
1,62.80,62.80,f,f
72,105.50,7544.00,f,f
59,19.85,1188.25,f,f
7,89.50,676.70,t,t
1,74.10,74.10,f,f
30,107.50,3242.50,f,f
64,19.55,1240.15,f,f
63,68.80,4111.35,f,f
72,84.45,5899.85,t,f
8,75.00,632.95,f,t
62,84.50,5193.20,f,f
67,111.20,7530.80,f,f
6,44.75,270.95,f,t
70,80.60,5460.20,f,f
20,80.70,1614.20,t,f
5,75.60,402.50,f,f
24,57.60,1367.75,f,f
11,44.05,483.70,f,t
72,110.60,7962.20,f,f
66,58.20,3810.80,f,f
45,81.00,3533.60,f,f
69,19.70,1396.90,f,f
15,85.60,1345.55,t,t
28,59.55,1646.45,f,f
70,115.55,8127.60,f,t
36,75.55,2680.15,f,f
16,86.60,1281.00,t,t
18,85.20,1553.90,f,t
34,97.65,3207.55,f,t
42,45.10,2049.05,f,f
48,70.95,3629.20,f,f
47,109.55,5124.55,f,t
39,89.55,3474.45,f,t
11,20.90,202.30,f,f
7,19.95,147.50,f,f
3,24.60,86.35,f,f
8,66.70,579.00,f,f
1,19.45,19.45,f,t
32,94.80,3131.55,f,f
60,65.85,3928.30,f,f
10,19.95,187.75,f,f
71,24.65,1710.15,f,f
4,20.35,76.35,f,t
1,69.25,69.25,t,t
43,51.25,2151.60,f,f
59,99.50,5961.10,f,t
23,54.25,1221.55,f,f
72,19.40,1496.45,f,f
22,56.25,1292.20,f,f
1,25.15,25.15,f,f
69,23.95,1713.10,f,f
50,35.40,1748.90,f,f
1,25.20,25.20,t,t
2,45.00,96.45,f,t
15,75.35,1114.55,f,f
31,20.40,609.10,f,f
1,20.15,20.15,f,t
66,105.00,7133.25,f,t
0,56.05,0.00,f,f
3,54.70,169.45,f,t
8,20.00,141.60,f,f
64,73.05,4688.65,f,f
28,20.50,563.05,f,f
57,100.75,5985.00,f,f
14,87.25,1258.60,f,t
19,19.95,373.50,f,f
10,79.95,857.20,f,t
51,49.65,2553.35,f,f
11,20.45,250.80,f,f
72,60.95,4549.05,f,f
66,20.35,1359.50,f,f
18,88.35,1639.30,f,t
9,19.50,178.85,f,f
9,75.20,633.85,f,f
48,111.45,5315.10,f,f
10,70.15,735.50,f,f
9,94.75,889.90,f,t
13,95.05,1290.00,t,t
4,78.45,330.05,f,t
4,70.20,237.95,f,t
72,92.00,6474.40,f,f
51,85.50,4421.95,f,f
59,41.05,2452.70,f,t
10,85.60,813.85,f,t
61,82.15,4904.85,t,f
54,84.40,4484.05,f,f
33,60.90,2033.85,f,f
27,20.25,538.20,f,f
1,79.20,79.20,t,t
23,95.30,2192.90,f,f
1,19.85,19.85,f,f
45,84.35,3858.05,f,f
39,19.85,854.80,f,f
5,70.00,347.40,f,t
72,82.30,5815.15,f,f
58,66.80,3970.40,f,f
70,44.60,3058.15,f,f
61,98.45,6145.20,f,f
2,70.70,129.20,f,f
46,24.95,1165.90,f,f
1,49.95,49.95,f,t
22,69.25,1554.00,f,t
48,102.50,4904.25,f,f
64,86.55,5632.55,f,f
72,24.30,1643.25,f,f
12,58.35,740.55,f,f
34,94.25,3217.55,t,t
72,68.75,4888.20,f,f
29,85.80,2440.25,f,f
33,20.10,620.55,f,f
1,20.35,20.35,f,f
62,110.80,6840.95,f,f
41,73.00,3001.20,f,t
64,100.05,6254.20,f,t
4,82.85,319.60,f,f
24,84.35,1938.05,f,f
14,19.55,294.50,f,f
3,19.95,58.30,f,f
4,99.80,442.85,t,t
18,35.00,553.00,f,t
8,66.25,546.45,f,f
35,23.30,797.10,f,f
1,76.00,76.00,f,t
66,25.30,1673.80,f,f
8,44.55,343.45,f,f
71,104.10,7412.25,f,f
43,92.55,4039.00,f,f
2,93.85,170.85,t,t
29,101.45,2948.60,t,f
15,84.30,1308.40,f,t
65,94.55,6078.75,f,f
35,95.50,3418.20,f,f
64,100.30,6603.80,f,f
58,55.50,3166.90,f,f
18,49.85,865.75,t,f
67,89.55,6373.10,f,f
63,19.15,1177.05,f,f
60,99.80,5985.75,f,f
9,84.40,732.50,t,t
70,113.05,7869.05,f,f
15,101.10,1504.05,f,t
48,19.95,936.70,f,f
12,74.15,741.40,f,f
71,92.00,6585.20,t,f
44,73.85,3122.40,t,f
1,50.45,50.45,f,t
45,24.45,1088.25,f,f
23,24.80,615.35,f,f
43,64.85,2908.20,f,f
35,20.75,739.90,f,f
9,68.95,593.85,f,f
12,99.95,1132.75,f,t
65,109.40,7227.45,t,f
2,91.40,193.60,f,t
27,49.00,1291.35,f,f
40,50.25,2023.55,f,f
5,75.55,349.65,t,t
8,19.90,153.95,f,f
58,97.80,5458.80,t,f
52,100.30,5244.45,f,f
3,55.80,154.55,f,f
41,111.15,4507.15,f,f
20,98.55,2031.95,f,f
1,50.05,50.05,f,f
4,80.80,332.45,f,t
23,20.85,473.90,f,f
6,19.50,106.80,t,f
8,19.35,152.60,f,f
18,69.50,1199.40,f,f
52,48.80,2555.05,t,f
31,94.50,2979.20,f,f
29,20.65,654.85,f,f
36,106.05,3834.40,f,f
16,100.00,1534.75,f,t
42,108.30,4586.15,f,f
1,20.55,20.55,f,t
60,99.65,5941.05,f,f
5,85.30,424.15,f,t
22,95.90,2234.95,f,f
36,20.00,666.75,f,f
4,70.40,281.00,f,t
9,64.95,547.80,f,f
1,74.60,74.60,f,f
12,49.20,571.15,f,f
23,73.75,1756.60,f,f
62,92.30,5731.45,f,f
37,98.80,3475.55,f,t
8,19.20,156.85,f,f
31,88.65,2683.20,f,f
13,74.40,896.75,f,t
24,98.75,2407.30,f,t
45,95.95,4456.65,f,f
69,105.40,6998.95,t,f
16,95.60,1555.65,f,t
2,20.25,36.80,f,f
61,106.00,6547.70,f,t
41,104.70,4346.40,f,t
44,49.05,2265.00,f,f
39,35.55,1309.15,f,f
72,65.10,4754.30,f,f
13,96.85,1235.55,t,f
51,69.75,3562.50,f,f
71,99.20,7213.75,t,f
22,96.70,2082.95,t,t
2,55.05,102.75,f,t
56,106.80,5914.40,f,f
1,51.25,51.25,f,f
23,57.75,1282.85,f,f
66,70.85,4738.85,t,f
1,19.55,19.55,f,f
19,88.20,1775.80,t,t
11,79.50,795.65,f,f
8,19.75,145.00,f,t
52,98.15,4993.40,f,f
3,20.25,61.45,f,f
51,79.15,4018.55,f,f
15,75.65,1146.65,t,t
64,94.25,6081.40,t,f
37,40.20,1478.85,f,f
13,19.95,243.65,f,f
49,55.35,2633.95,f,f
45,102.15,4735.35,t,f
18,71.10,1247.75,f,f
1,74.70,74.70,t,t
68,54.10,3794.50,f,f
54,19.65,1008.70,f,f
23,88.45,2130.55,t,f
17,76.65,1313.55,f,t
71,80.40,5727.15,f,f
67,19.25,1372.90,f,f
14,84.80,1203.90,f,f
1,25.80,25.80,t,t
63,19.50,1215.10,f,f
41,68.60,2877.05,f,f
17,92.60,1579.70,f,f
56,100.55,5514.95,f,f
35,50.15,1655.35,f,f
5,20.55,96.10,f,f
2,42.60,72.40,f,t
3,19.60,55.25,f,f
37,67.45,2443.30,f,f
29,68.85,1970.50,f,t
8,43.55,335.40,f,f
63,109.85,7002.95,f,f
7,20.65,158.95,f,f
3,95.40,293.15,f,f
72,21.00,1493.75,f,f
19,56.20,1093.40,f,f
59,18.40,1057.85,f,f
2,90.00,190.05,f,t
35,25.75,882.55,f,f
14,19.60,300.40,f,f
14,75.35,1025.95,f,t
69,19.80,1436.95,f,f
7,64.20,475.00,t,f
69,75.75,5388.15,f,f
72,78.95,5730.15,f,f
8,100.85,819.55,f,t
4,50.30,217.10,f,f
63,80.30,4896.35,f,f
72,19.85,1434.10,f,f
46,21.10,937.10,f,f
5,69.95,330.15,f,t
30,50.00,1474.90,f,f
63,104.75,6536.50,f,f
60,19.85,1128.10,f,f
63,107.50,6873.75,f,t
25,85.90,2199.05,f,f
1,45.85,45.85,f,t
6,80.80,457.10,t,f
22,25.25,566.50,f,f
31,80.55,2471.60,f,f
39,81.50,3107.30,f,f
26,20.90,518.30,f,f
53,106.10,5769.75,f,t
1,91.70,91.70,f,t
12,67.25,832.30,f,f
2,20.35,45.30,f,f
39,45.05,1790.60,f,f
1,74.95,74.95,f,t
7,34.65,246.60,f,f
4,69.35,261.65,t,f
10,95.35,898.35,t,t
55,81.55,4509.50,f,f
72,75.40,5480.25,f,f
10,67.80,653.15,f,f
11,111.40,1183.05,t,f
15,46.30,639.45,f,f
23,20.40,478.75,f,f
1,20.05,20.05,f,f
3,45.00,127.10,t,t
47,96.10,4391.45,f,f
15,19.65,270.60,f,f
66,99.50,6710.50,f,t
68,60.65,3975.90,t,f
17,98.60,1704.95,f,t
7,59.50,415.95,f,t
12,80.45,950.20,t,t
21,71.70,1497.05,t,f
21,36.00,780.15,f,f
56,65.20,3512.15,f,f
6,48.95,273.25,f,f
65,53.50,3517.90,t,f
42,80.45,3375.90,f,f
68,109.05,7508.55,f,f
48,26.30,1245.05,f,f
50,106.80,5347.95,t,f
7,64.95,493.65,t,f
63,19.35,1263.85,f,f
17,21.10,385.55,f,f
42,77.95,3384.00,f,t
4,18.85,84.20,f,f
62,26.00,1638.70,f,f
2,74.70,165.40,t,t
2,70.35,120.25,f,f
48,96.90,4473.45,f,f
27,19.55,520.55,f,f
70,80.40,5717.85,f,f
1,88.80,88.80,t,t
46,94.65,4312.50,f,f
30,90.25,2755.35,f,t
15,64.65,994.55,f,t
69,95.75,6511.25,f,f
65,19.55,1218.65,f,f
72,104.10,7447.70,t,f
13,89.05,1169.35,t,t
17,20.10,279.50,f,f
51,111.55,5720.35,f,f
51,60.50,3121.45,f,f
72,90.95,6468.60,f,f
67,87.40,5918.80,f,t
34,19.70,675.60,f,f
67,50.95,3521.70,f,f
49,20.05,923.10,f,f
53,19.40,1110.35,f,f
27,59.45,1611.65,f,f
23,94.75,2293.60,t,t
69,81.50,5553.25,f,f
2,29.05,44.75,f,f
35,86.45,3029.10,f,t
46,70.60,3231.05,f,f
54,97.20,5129.45,f,f
56,98.25,5508.35,f,t
9,75.75,655.90,f,t
20,59.20,1191.20,f,f
11,75.90,866.40,f,f
30,90.05,2627.20,t,f
68,70.95,4741.45,f,f
38,102.60,4009.20,t,f
17,85.35,1463.45,t,t
48,106.10,5082.80,f,t
1,43.80,43.80,f,f
63,59.00,3707.60,f,f
3,69.95,220.45,f,f
48,24.35,1133.70,f,f
66,29.45,1983.15,f,f
68,84.40,5746.75,f,f
17,45.05,770.60,t,t
7,20.65,134.05,f,f
72,87.10,6230.10,f,f
29,19.85,573.05,f,f
37,90.35,3419.30,f,f
34,109.80,3587.25,f,t
42,84.65,3541.35,t,t
59,65.50,3801.30,f,f
11,79.50,868.50,f,t
60,80.95,4859.10,t,f
27,56.15,1439.35,f,f
1,85.80,85.80,f,t
1,79.10,79.10,t,t
17,34.40,592.75,f,f
58,20.75,1185.95,f,f
1,18.80,18.80,f,f
3,44.30,134.50,f,t
53,90.80,4921.20,f,f
35,25.60,901.25,f,f
50,105.95,5341.80,f,t
68,70.80,4859.95,f,f
47,25.40,1139.20,f,f
65,108.80,7082.45,t,f
5,69.75,324.60,f,t
51,94.65,4812.75,f,t
46,96.05,4399.50,f,t
9,76.85,663.55,f,f
8,20.25,174.65,f,f
14,24.80,321.70,f,f
45,115.65,5125.50,f,f
8,74.60,548.90,f,f
1,50.15,50.15,t,t
66,103.15,7031.30,f,f
72,72.10,5016.65,f,f
41,113.60,4594.95,f,t
23,25.10,611.45,f,f
29,78.90,2384.15,f,t
4,80.15,319.85,f,f
6,25.40,153.30,f,f
67,105.40,7035.60,t,f
7,45.75,344.20,t,f
56,24.45,1431.65,f,f
72,25.00,1849.20,f,f
72,85.25,6083.10,f,f
23,19.60,426.65,f,f
27,70.55,1943.90,t,f
26,60.05,1616.15,f,t
12,26.40,314.95,f,f
40,20.15,804.85,f,f
7,58.85,465.70,f,f
70,97.55,6669.05,f,f
60,19.65,1161.75,f,f
39,25.25,947.75,f,f
72,114.45,8375.05,f,f
1,34.70,34.70,f,t
54,70.70,3770.00,f,f
3,85.30,264.80,f,t
63,75.55,4707.85,f,f
71,84.80,6152.40,f,f
42,20.65,958.10,f,f
47,20.45,943.00,f,f
66,102.45,6615.15,f,t
21,104.40,2200.25,f,t
11,35.65,425.10,f,f
1,99.75,99.75,f,t
55,90.45,5044.80,t,f
69,97.65,6743.55,f,f
3,73.85,196.40,t,f
4,74.40,299.70,f,t
30,69.10,2093.90,t,f
5,82.75,417.75,f,f
71,24.40,1725.40,f,f
29,55.25,1620.20,f,f
52,61.35,3169.55,f,f
68,76.75,5233.25,f,f
46,19.40,967.85,f,f
8,54.75,438.05,f,f
72,19.70,1421.90,f,f
17,19.90,323.15,f,f
3,107.95,318.60,f,f
2,83.80,163.70,t,f
9,74.25,639.65,f,t
51,56.40,2928.50,f,f
6,20.10,100.35,f,f
3,94.90,273.20,f,f
17,94.20,1608.15,t,f
30,49.90,1441.95,f,f
31,71.05,2168.15,f,f
45,81.65,3618.70,f,f
64,89.45,5692.65,f,f
1,59.85,59.85,f,t
1,69.60,69.60,t,t
61,99.00,5969.30,t,f
1,19.05,19.05,f,f
9,45.40,418.80,f,t
72,114.45,8100.55,f,f
1,19.50,19.50,f,t
7,44.25,313.45,f,f
66,90.55,6130.95,f,f
1,69.90,69.90,f,t
40,20.40,745.30,f,f
16,71.40,1212.10,f,f
2,87.15,183.75,f,t
67,24.85,1583.50,f,f
41,104.45,4162.05,f,f
56,19.80,1119.90,f,f
72,116.45,8013.55,f,f
3,84.75,264.85,f,t
54,20.05,1102.40,f,f
52,110.75,5832.00,t,f
50,89.70,4304.50,f,f
14,89.95,1178.40,f,t
27,48.70,1421.75,f,f
72,96.60,6827.50,t,f
62,74.30,4698.05,f,f
12,54.30,654.50,f,f
44,74.85,3268.05,t,f
54,79.95,4362.05,f,f
68,20.05,1386.90,f,f
20,19.40,415.40,f,f
50,54.90,2614.10,f,f
58,24.45,1513.60,f,f
35,89.65,3161.60,f,f
2,45.40,80.95,f,f
63,75.70,4676.70,f,f
58,110.65,6526.65,f,f
27,20.55,583.30,f,f
71,115.15,8078.10,f,f
63,58.55,3503.50,f,f
71,93.25,6669.45,f,f
41,113.20,4689.50,t,t
13,90.50,1201.15,t,t
2,79.00,143.65,f,t
68,19.35,1292.65,f,f
1,48.75,48.75,f,f
65,109.05,7108.20,t,f
72,25.00,1802.55,t,f
28,54.90,1505.15,f,f
72,24.75,1859.10,f,f
2,91.15,168.50,f,f
18,20.15,390.85,f,t
60,104.35,6339.45,t,f
26,66.05,1652.40,t,f
1,71.65,71.65,f,t
4,20.35,77.50,f,t
68,92.20,6392.85,f,f
38,84.25,3264.50,f,t
42,105.20,4599.15,t,f
57,19.60,1134.25,f,f
54,30.40,1621.35,f,f
12,78.10,947.30,f,t
44,61.50,2722.20,f,f
42,69.40,3058.30,f,f
72,24.75,1769.60,f,f
71,91.05,6293.75,f,f
19,89.65,1761.05,f,t
23,73.65,1642.75,f,f
30,19.40,578.50,f,f
35,26.20,954.90,f,f
10,98.70,973.25,f,t
1,43.85,43.85,f,f
22,69.70,1490.40,f,f
7,38.55,280.00,f,f
36,53.10,1901.25,f,f
34,20.65,716.40,f,f
72,64.45,4720.00,f,f
36,25.10,930.95,f,f
1,76.35,76.35,f,t
23,79.15,1676.95,f,t
32,85.00,2642.05,t,t
71,95.15,6770.85,f,f
23,79.35,1835.30,t,f
17,96.65,1588.25,f,f
1,75.50,75.50,f,f
12,19.70,258.35,f,f
72,20.50,1502.25,f,f
1,19.20,19.20,f,f
72,98.35,6929.40,t,f
60,74.35,4453.30,f,f
61,51.35,3244.40,f,f
6,45.65,323.45,f,f
32,85.30,2661.10,t,t
31,86.55,2697.40,f,t
19,73.85,1424.50,f,t
72,20.30,1401.15,f,f
32,54.20,1739.60,f,f
65,90.65,5931.00,f,f
45,50.90,2333.85,f,f
42,25.05,949.85,f,f
8,74.85,572.45,f,f
32,20.50,696.80,f,f
22,63.55,1381.80,t,f
57,44.85,2572.95,t,t
1,47.95,47.95,f,f
1,45.10,45.10,t,t
1,45.00,45.00,f,f
24,96.00,2122.45,f,t
1,20.05,20.05,f,t
54,90.05,4931.80,t,f
4,25.30,116.95,f,f
65,108.65,6937.95,f,t
56,24.30,1261.70,f,f
45,75.95,3273.80,f,f
71,19.70,1415.85,f,f
59,66.40,3958.20,f,f
69,35.75,2492.25,f,f
19,18.80,279.20,f,f
55,19.40,1083.00,f,f
38,19.30,755.50,f,f
10,45.55,402.60,f,t
47,67.45,3252.00,t,f
2,35.10,68.75,f,t
1,46.20,46.20,f,t
1,45.15,45.15,f,t
1,43.30,43.30,t,t
46,20.10,936.85,f,f
38,57.15,2250.65,t,t
65,58.90,3857.10,f,f
19,73.20,1441.10,f,t
52,85.35,4338.60,f,t
71,19.45,1378.45,f,f
1,45.95,45.95,f,t
52,50.50,2566.30,t,f
6,25.10,171.00,f,f
26,60.70,1597.40,t,f
48,99.00,4744.35,t,f
64,104.40,6721.60,f,f
3,83.75,247.25,f,t
1,44.05,44.05,f,f
72,24.10,1734.65,f,f
1,45.55,45.55,f,f
51,93.80,4539.35,f,f
41,19.70,804.25,f,f
72,70.65,5011.15,f,f
43,86.45,3574.50,f,f
72,114.10,8086.40,f,f
47,95.20,4563.00,f,f
72,88.55,6362.35,f,f
3,20.75,67.10,f,f
1,70.05,70.05,f,t
2,86.00,165.45,f,t
26,44.65,1156.55,f,f
29,60.20,1834.15,f,f
35,100.50,3653.35,t,t
27,55.45,1477.65,f,f
24,70.30,1706.45,f,f
67,60.40,3953.70,f,f
16,72.65,1194.30,f,t
23,55.80,1327.85,f,f
14,31.10,419.70,f,f
1,21.00,21.00,f,t
1,45.10,45.10,t,t
4,50.95,207.35,t,f
16,69.10,1083.70,f,f
46,43.95,2007.85,f,f
68,86.50,5882.75,f,f
38,69.95,2657.55,f,f
30,50.40,1527.50,t,t
5,78.95,378.40,t,t
17,90.95,1612.20,f,f
4,19.90,76.65,f,f
12,20.15,260.70,f,f
72,90.60,6441.85,f,f
3,92.00,266.80,f,f
56,94.45,5124.60,f,t
41,24.85,962.25,f,f
40,36.00,1382.90,f,f
7,78.50,571.05,f,f
69,19.95,1399.35,f,f
7,20.65,150.00,f,f
5,30.50,167.20,f,f
72,106.10,7657.40,f,f
